campaign_id,campaign_name,campaign_type,target_issue,target_segment,start_date,end_date,status,total_targeted,total_contacted,total_responded,total_converted,conversion_rate,response_rate,revenue_generated,campaign_cost,roi,avg_deal_value,offer_description,channel_used
CAMP_012,Retention - Billing Downgrade Q3,Retention,billing_downgrade,High Churn,2025-08-28,2025-09-17,Completed,613,564,219,79,12.89,38.83,56564,55783,0.01,716,Special offer for billing downgrade customers,Multi-channel
CAMP_013,Upgrade - Internet Speed Q3,Upgrade,internet_speed,All Customers,2025-08-03,2025-09-26,Completed,363,333,134,56,15.43,40.24,86856,22506,2.86,1551,Special offer for internet speed customers,Call
CAMP_014,Upsell - Account Issues Q3,Upsell,account_issues,All Customers,2025-07-17,2025-08-17,Completed,1831,1621,532,290,15.84,32.82,867680,86057,9.08,2992,Special offer for account issues customers,SMS
CAMP_015,Winback - Internet Connectivity Q2,Winback,internet_connectivity,High Churn,2025-06-12,2025-07-04,Completed,140,133,44,25,17.86,33.08,27075,12320,1.2,1083,Special offer for internet connectivity customers,SMS
CAMP_016,Retention - Product Inquiry Q2,Retention,product_inquiry,Billing Complaints,2025-06-24,2025-08-22,Completed,1804,1744,427,138,7.65,24.48,249780,102828,1.43,1810,Special offer for product inquiry customers,SMS
CAMP_017,Winback - Tv Channels Q2,Winback,tv_channels,High Churn,2025-05-30,2025-06-30,Completed,909,871,134,76,8.36,15.38,119472,56358,1.12,1572,Special offer for tv channels customers,Call
CAMP_018,Upsell - Billing Overcharge Q2,Upsell,billing_overcharge,Speed Issues,2025-05-19,2025-07-08,Completed,1862,1698,549,274,14.72,32.33,297290,117306,1.53,1085,Special offer for billing overcharge customers,Multi-channel
CAMP_019,Retention - Billing Downgrade Q3,Retention,billing_downgrade,All Customers,2025-08-14,2025-10-03,Completed,1146,1042,358,79,6.89,34.36,109652,63030,0.74,1388,Special offer for billing downgrade customers,SMS
CAMP_020,Upsell - Account Issues Q3,Upsell,account_issues,High Churn,2025-07-14,2025-08-28,Completed,1851,1611,582,210,11.35,36.13,215460,96252,1.24,1026,Special offer for account issues customers,Multi-channel
CAMP_021,Retention - Account Issues Q2,Retention,account_issues,Speed Issues,2025-06-18,2025-08-15,Completed,766,744,236,128,16.71,31.72,276352,32938,7.39,2159,Special offer for account issues customers,Email
CAMP_022,Winback - Customer Retention Q3,Winback,customer_retention,Billing Complaints,2025-07-01,2025-07-25,Completed,1193,1159,484,263,22.05,41.76,223813,38176,4.86,851,Special offer for customer retention customers,SMS
CAMP_023,Upsell - Internet Connectivity Q3,Upsell,internet_connectivity,High Churn,2025-07-21,2025-09-04,Completed,1477,1361,529,174,11.78,38.87,187572,93051,1.02,1078,Special offer for internet connectivity customers,Multi-channel
CAMP_024,Upgrade - Billing Overcharge Q3,Upgrade,billing_overcharge,All Customers,2025-09-29,2025-10-20,Completed,569,526,172,37,6.5,32.7,65379,24467,1.67,1767,Special offer for billing overcharge customers,Call
CAMP_025,Retention - Internet Connectivity Q3,Retention,internet_connectivity,Speed Issues,2025-08-22,2025-10-19,Completed,1001,912,333,166,16.58,36.51,286018,66066,3.33,1723,Special offer for internet connectivity customers,App Notification
CAMP_026,Retention - Billing Downgrade Q2,Retention,billing_downgrade,High Churn,2025-06-08,2025-07-15,Completed,1719,1461,632,130,7.56,43.26,150800,158148,-0.05,1160,Special offer for billing downgrade customers,Multi-channel
CAMP_027,Upgrade - Tv Channels Q3,Upgrade,tv_channels,Speed Issues,2025-07-24,2025-09-07,Completed,1464,1245,400,96,6.56,32.13,61440,77592,-0.21,640,Special offer for tv channels customers,Call
CAMP_028,Upsell - Account Issues Q2,Upsell,account_issues,High Churn,2025-06-19,2025-07-10,Completed,1344,1183,305,81,6.03,25.78,65205,115584,-0.44,805,Special offer for account issues customers,Call
CAMP_029,Winback - Billing Overcharge Q3,Winback,billing_overcharge,Billing Complaints,2025-07-09,2025-08-20,Completed,1997,1858,397,169,8.46,21.37,430443,105841,3.07,2547,Special offer for billing overcharge customers,Email
